0,1,2,3,4,5
0.598,0.359,0.043,0,0,0
0.266,0.429,0.305,0,0,0
0.11,0.342,0.548,0,0,0
0,0,0,0.429,0.469,0.102
0,0,0,0.281,0.469,0.25
0,0,0,0.02,0.32,0.66
