0,1,2,3,4,5
0.863,0.137,0,0,0,0
0.14,0.71,0.151,0,0,0
0,0.108,0.885,0.007,0,0
0,0,0.006,0.872,0.123,0
0,0,0,0.168,0.717,0.114
0,0,0,0,0.199,0.801
