0,1,2,3,4,5
0.696,0.268,0.036,0,0,0
0.249,0.53,0.222,0,0,0
0.014,0.286,0.7,0,0,0
0,0,0,0.705,0.273,0.023
0,0,0,0.214,0.47,0.316
0,0,0,0.019,0.208,0.774
