0,1,2,3,4,5,6,7,8,9,10
73.926,132.486,111.959,74.186,140.301,165.192,152.435,158.435,107.448,91.053,94.892
65.132,127.843,105.781,65.46,131.624,157.556,145.026,150.29,104.556,86.645,91.085
31.44,114.65,86.396,32.368,98.426,129.541,118.301,119.795,100.15,77.132,83.835
7.26,110.697,78.359,11.2,71.705,109.09,99.717,96.498,105.029,80.062,87.908
10.096,110.993,77.775,13.399,62.346,102.593,94.166,88.764,108.534,83.448,91.474
9.233,110.909,77.776,12.738,63.451,103.339,94.789,89.663,108.072,82.985,90.996
70.558,131.515,100.285,71.317,26.322,81.144,82.329,59.855,144.865,122.318,129.998
101.738,150.727,122.46,102.34,45.179,86.95,93.151,66.191,168.869,147.954,155.224
