0,1,2,3,4,5
0.776,0.224,0,0,0,0
0.137,0.738,0.126,0,0,0
0.007,0.221,0.772,0,0,0
0,0,0,0.817,0.183,0
0,0,0,0.282,0.612,0.106
0,0,0,0.01,0.278,0.711
