0,1,2,3,4,5
0.84,0.16,0,0,0,0
0.136,0.729,0.136,0,0,0
0,0.203,0.797,0,0,0
0,0,0.012,0.879,0.11,0
0,0,0,0.153,0.733,0.114
0,0,0,0,0.229,0.771
