0,1,2,3,4,5
0.818,0.182,0,0,0,0
0.1,0.741,0.159,0,0,0
0,0.081,0.906,0.012,0,0
0,0,0,0.793,0.207,0
0,0,0,0.055,0.83,0.115
0,0,0,0,0.134,0.866
