0,1,2,3,4,5
0.836,0.164,0,0,0,0
0.112,0.787,0.101,0,0,0
0,0.093,0.907,0,0,0
0,0,0.043,0.901,0.056,0
0,0,0,0.212,0.769,0.019
0,0,0,0,0.336,0.664
