x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.0,0.0,0.0,0.0,0.0,264.6320817208975,0.0,0.0,0.0,0.0,0.0
1252.1,22.9,6.9,0.0,0.4,2.6,0.0,0.0,0.0,0.0,0.0
1924.3,34.9,0.0,0.0,0.6,1.7,0.0,0.0,0.0,0.0,0.0
674.0,0.9,4.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
1253.0,22.6,7.0,0.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0
1916.0,35.6,0.0,0.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0
624.3,4.8,3.5,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0
1229.9,24.5,4.2,0.1,0.4,1.2,0.0,0.0,0.0,0.0,0.0
1925.9,34.8,0.0,0.0,0.5,1.6,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676.5,0.5,4.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
1252.1,22.9,6.9,0.0,0.4,2.6,0.0,0.0,0.0,0.0,0.0
1924.3,34.9,0.0,0.0,0.6,1.7,0.0,0.0,0.0,0.0,0.0
674.0,0.9,4.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
0.0,0.0,9.05781163095436,36.467112567777015,84.20758078786983,340.8609674785479,0.0,0.0,0.0,0.0,0.0
1916.0,35.6,0.0,0.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0
624.3,4.8,3.5,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0
1229.9,24.5,4.2,0.1,0.4,1.2,0.0,0.0,0.0,0.0,0.0
1925.9,34.8,0.0,0.0,0.5,1.6,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216.96473614155636,32.58852507377056,20.690053485359293,11.143271431156098,17.955761416484716,42.89903329434882,0.0,0.0,0.0,0.0,0.0
1252.1,22.9,6.9,0.0,0.4,2.6,0.0,0.0,0.0,0.0,0.0
1924.3,34.9,0.0,0.0,0.6,1.7,0.0,0.0,0.0,0.0,0.0
674.0,0.9,4.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
1253.0,22.6,7.0,0.0,0.4,1.6,0.0,0.0,0.0,0.0,0.0
1916.0,35.6,0.0,0.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0
624.3,4.8,3.5,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0
1229.9,24.5,4.2,0.1,0.4,1.2,0.0,0.0,0.0,0.0,0.0
1925.9,34.8,0.0,0.0,0.5,1.6,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676.5,0.5,4.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
1252.1,22.9,6.9,0.0,0.4,2.6,0.0,0.0,0.0,0.0,0.0
1924.3,34.9,0.0,0.0,0.6,1.7,0.0,0.0,0.0,0.0,0.0
674.0,0.9,4.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0
1253.0450028989437,22.591625515808317,6.974534386798465,0.00876809192031152,0.39586993414711125,1.6488925153289526,0.0,0.0,0.0,0.0,0.0
1916.0,35.6,0.0,0.0,0.6,2.0,0.0,0.0,0.0,0.0,0.0
624.3,4.8,3.5,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0
1229.9,24.5,4.2,0.1,0.4,1.2,0.0,0.0,0.0,0.0,0.0
1925.9,34.8,0.0,0.0,0.5,1.6,0.0,0.0,0.0,0.0,0.0
